Lat,Long,Propane
44.40816429,-86.14126035,37.57
44.41000976,-86.1412459,36.64
44.41173689,-86.14105735,61.88
44.41401379,-86.14094866,39.99
44.41564378,-86.14101272,96.2
44.41691323,-86.14101925,26.3
44.41717819,-86.13795045,59.01
44.41725803,-86.13541192,53.05
44.41694873,-86.13261534,49.73
44.41503334,-86.13290743,42.77
44.41678396,-86.12989202,80.85
44.41678289,-86.12739238,82.24
44.41666388,-86.12478145,76.09
44.41679152,-86.12264416,25.29
44.41479138,-86.12244798,82.7
44.41305674,-86.12282561,72.95
44.41294604,-86.12013937,80.97
44.41287352,-86.11774145,34.1
44.41279059,-86.11516785,77.1
44.41270789,-86.11263193,11.62
44.41258961,-86.11015936,15.7
44.4125572,-86.10831351,39.07
44.41248556,-86.1072093,28.14
44.41239462,-86.10594211,35.96
44.41249171,-86.10454645,62.61
44.41226571,-86.10328133,73.19
44.41221944,-86.10197578,86.14
44.41220936,-86.10069481,38.18
44.412549,-86.10956965,14.42
44.41260898,-86.11149045,15.39
44.41265589,-86.11405202,22.91
44.41280002,-86.11638605,70
44.41289212,-86.11898463,56.34
44.41299317,-86.12158309,61.06
44.41110222,-86.12036797,33.56
44.40939333,-86.12058198,23.77
44.40737703,-86.12062475,29.65
44.40550494,-86.12069048,1.676
44.40364224,-86.12080629,46.32
44.40221144,-86.12089051,9.5
44.4026453,-86.14122807,20.2
44.40253589,-86.13865527,37.08
44.40247353,-86.13635807,21.55
44.40238892,-86.13350865,58.67
44.40230816,-86.13117405,2.03
44.40221519,-86.12842523,48.88
44.40214428,-86.12621609,14.83
44.40208971,-86.12379322,19.28
44.40182378,-86.1184852,34.12
44.40168646,-86.11586267,70.71
44.40152374,-86.11345402,30.09
44.4014231,-86.11093142,52.94
44.40138444,-86.10828231,36.27
44.40131123,-86.10467934,46.65
44.40136776,-86.10270691,17.75
44.40134365,-86.10078594,53.59
44.40321493,-86.10061913,58.56
44.40496948,-86.10049178,22.09
44.40675173,-86.10045191,36.15
44.40853407,-86.10042459,11.31
44.41119968,-86.10052188,29.55
44.41374559,-86.10028189,24.92
44.41541022,-86.10016844,17.91
44.41751821,-86.10033709,60.51
44.41668742,-86.1243289,32.13
44.41671466,-86.12553436,49.2
44.41671032,-86.12849884,44.79
44.41692846,-86.13113343,50.85
44.41709072,-86.13353021,21.48
44.41707279,-86.13591709,37.56
44.41920021,-86.12563549,58.56
44.41909023,-86.12773491,132.09
44.41911227,-86.13062375,136.15
44.42098579,-86.13074673,11.31
44.42289551,-86.1308943,29.55
44.41935689,-86.13319526,84.92
44.41920718,-86.13601127,17.91
44.41926984,-86.13834681,60.51
44.41953437,-86.14119442,32.13
44.41277714,-86.12041823,49.2
44.41271178,-86.11778156,44.79
44.41423919,-86.11505808,30.85
44.41609346,-86.11501755,41.48
44.4176729,-86.11436566,37.56
44.41332244,-86.14119742,80.51
44.41977864,-86.10042804,32.13
44.41458921,-86.12074276,77.91
44.41449792,-86.11824457,44.67
44.41742253,-86.118075,49.2
44.41734366,-86.12068892,44.79
44.41908863,-86.11815045,30.85
44.4193194,-86.12005635,21.48
44.41907538,-86.11063882,37.56
44.40658811,-86.14117038,11.43
44.4048156,-86.14130934,17.54
44.40752188,-86.13844395,37.92
44.40755691,-86.13593161,103.54
44.40750896,-86.13316932,101.76
44.40743739,-86.1308595,28.18
44.40746354,-86.12838497,50.56
44.40741608,-86.12336205,48.71
44.40922554,-86.12334758,14.65
44.40930371,-86.12649884,54.5
44.409264,-86.12837079,101.33
44.40919265,-86.13082095,39.58
44.40929457,-86.13356997,17.17
44.40959313,-86.13614026,21.66
44.40970099,-86.13849988,14.04
44.41102214,-86.1228309,34
44.41104141,-86.12534259,28.67
44.41090146,-86.12823343,37.23
44.41107441,-86.13084332,23.54
44.41325868,-86.13157714,29.55
44.41290073,-86.12831677,24.92
44.41315125,-86.12458264,30.14
